"article_date","title"
2019-09-02,1280
2019-09-03,1989
2019-09-04,1961
2019-09-05,2131
2019-09-06,2024
2019-09-07,766
2019-09-08,356
2019-09-09,1777
2019-09-10,1945
2019-09-11,2051
2019-09-12,2048
2019-09-13,1796
2019-09-14,784
2019-09-15,268
2019-09-16,1490
2019-09-17,1367
2019-09-18,2049
2019-09-19,1548
2019-09-20,1566
2019-09-21,587
2019-09-22,215
2019-09-23,1447
2019-09-24,1500
2019-09-25,1676
2019-09-26,1693
2019-09-27,1524
2019-09-28,600
2019-09-29,304
2019-09-30,2034
2019-10-01,1867
2019-10-02,1127
2019-10-03,1471
2019-10-04,1513
2019-10-05,574
2019-10-06,336
2019-10-07,1276
2019-10-08,1338
2019-10-09,1682
2019-10-10,1888
2019-10-11,1777
2019-10-12,749
2019-10-13,446
2019-10-14,1685
2019-10-15,2187
2019-10-16,2010
2019-10-17,2119
2019-10-18,1982
2019-10-19,789
2019-10-20,448
2019-10-21,1957
2019-10-22,2159
2019-10-23,2205
2019-10-24,2217
2019-10-25,2014
2019-10-26,635
2019-10-27,287
2019-10-28,1597
2019-10-29,1645
2019-10-30,1910
2019-10-31,2904
2019-11-01,2205
2019-11-02,982
2019-11-03,577
2019-11-04,1866
2019-11-05,1916
2019-11-06,2740
2019-11-07,2082
2019-11-08,1923
2019-11-09,1461
2019-11-10,446
2019-11-11,2212
2019-11-12,2306
2019-11-13,2048
2019-11-14,2725
2019-11-15,2375
2019-11-16,936
2019-11-17,401
2019-11-18,1881
2019-11-19,2144
2019-11-20,2301
2019-11-21,2691
2019-11-22,2138
2019-11-23,1025
2019-11-24,377
2019-11-25,1904
2019-11-26,2376
2019-11-27,2558
2019-11-28,2065
2019-11-29,2165
2019-11-30,995
2019-12-01,566
2019-12-02,2357
2019-12-03,2082
2019-12-04,2243
2019-12-05,2345
2019-12-06,1931
